player_id,High 5s,Player Avg Raid Points,Player Avg Tackle Points,Player DOD Raid Points,Player Raid Points,Player Successful Raids,Player Successful Tackles,Player Super Raids,Player Super Tackles,Player Tackle Points,Player Total Points,Super 10s,player_name,team,position_id,position_name,match_played
11,,,,,1.0,,,,,,1.0,,Dong Ju Hong,5,1.0,All Rounder,3
12,,4.24,0.0,8.0,89.0,80.0,,,,,89.0,,Jang Kun Lee,4,8.0,Raider,21
26,,9.68,0.41,30.0,213.0,182.0,9.0,3.0,,9.0,222.0,12.0,Ajay Thakur,29,8.0,Raider,22
29,,5.33,1.1,5.0,112.0,84.0,19.0,2.0,4.0,23.0,135.0,2.0,Anup Kumar,5,8.0,Raider,21
34,,1.65,0.0,7.0,28.0,16.0,,2.0,,,28.0,,Bhupender Singh,4,1.0,All Rounder,17
36,,4.64,,13.0,51.0,43.0,,3.0,,,51.0,1.0,Chandran Ranjit,31,8.0,Raider,11
41,,7.17,0.58,47.0,172.0,127.0,13.0,8.0,1.0,14.0,186.0,7.0,Deepak Niwas Hooda,7,1.0,All Rounder,24
42,,0.0,1.39,,,,24.0,,1.0,25.0,25.0,,Dharmaraj Cheralathan,7,10.0,"Defender, right and left corner",18
46,,1.89,0.78,5.0,17.0,10.0,7.0,1.0,,7.0,24.0,,Gurvinder Singh,1,8.0,Raider,9
52,,4.07,0.33,14.0,61.0,49.0,3.0,3.0,2.0,5.0,66.0,2.0,Jasvir Singh,3,8.0,Raider,15
53,,,0.83,,,,3.0,,2.0,5.0,5.0,,Jeeva Gopal,28,4.0,"Defender, left cover",6
54,1.0,,2.0,,,,37.0,,7.0,44.0,44.0,,Jeeva Kumar,30,5.0,"Defender, right and left cover",22
58,,5.7,0.4,27.0,114.0,81.0,7.0,4.0,1.0,8.0,122.0,3.0,Kashiling Adake,5,8.0,Raider,20
61,3.0,,2.0,,,,30.0,,2.0,32.0,32.0,,Kuldeep Singh,1,3.0,"Defender, left corner",16
66,,1.84,0.33,8.0,35.0,30.0,4.0,,3.0,7.0,42.0,,Mahesh Goud,30,8.0,Raider,21
69,3.0,0.5,3.13,,5.0,4.0,46.0,,1.0,47.0,52.0,,Manjeet Chhillar,3,1.0,All Rounder,15
70,,,,,,,1.0,,,1.0,1.0,,Manoj Kumar,31,4.0,"Defender, left cover",5
71,2.0,0.43,1.95,,3.0,1.0,35.0,,4.0,39.0,42.0,,Mohit Chhillar,28,6.0,"Defender, right corner",20
72,,,0.0,,,,,,,,,,Navneet Gautam,3,3.0,"Defender, left corner",3
73,3.0,0.5,1.33,1.0,4.0,2.0,19.0,,1.0,20.0,24.0,,Nilesh Shinde,2,6.0,"Defender, right corner",15
75,,1.08,0.0,3.0,13.0,11.0,,,,,13.0,,Nitin Madane,5,8.0,Raider,12
81,,8.36,0.41,28.0,184.0,159.0,9.0,5.0,,9.0,193.0,8.0,Rahul Chaudhari,8,8.0,Raider,22
85,,3.75,0.04,40.0,90.0,75.0,1.0,1.0,,1.0,91.0,1.0,Rajesh Mondal,7,8.0,Raider,24
86,,0.69,1.0,,11.0,7.0,15.0,1.0,1.0,16.0,27.0,,Rajesh Narwal,30,1.0,All Rounder,16
88,,0.7,1.6,,7.0,7.0,15.0,,1.0,16.0,23.0,,Rakesh Kumar,8,1.0,All Rounder,10
92,,1.0,0.6,1.0,5.0,3.0,3.0,,,3.0,8.0,,Ravi Dalal,2,8.0,Raider,5
94,,7.86,0.24,32.0,165.0,126.0,4.0,12.0,1.0,5.0,170.0,5.0,Rishank Devadiga,30,8.0,Raider,21
