team_id,Team All-outs Conceded,Team All-outs Inflicted,Team Average Raid Points,Team Average Tackle Points,Team Avg Points Scored,Team DOD Raid Points,Team Raid Points,Team Successful Raids,Team Successful Tackles,Team Super Raid,Team Super Tackles,Team Tackle Points,Team Total Points,Team Total Points Conceded,team_name
1,15.0,20.0,18.19,10.19,28.37,40.0,291.0,225.0,153.0,7.0,10.0,163.0,498.0,479.0,Bengaluru Bulls
2,23.0,18.0,20.36,9.57,29.92,31.0,285.0,246.0,124.0,5.0,10.0,134.0,456.0,471.0,Dabang Delhi K.C.
3,15.0,29.0,21.5,10.63,32.12,50.0,344.0,270.0,158.0,9.0,12.0,170.0,579.0,458.0,Jaipur Pink Panthers
4,25.0,11.0,20.21,8.71,28.92,30.0,283.0,213.0,106.0,11.0,16.0,122.0,430.0,515.0,Bengal Warriors
5,19.0,21.0,21.69,9.81,31.5,40.0,347.0,270.0,145.0,12.0,12.0,157.0,550.0,499.0,U Mumba
6,17.0,18.0,19.75,8.88,28.62,42.0,316.0,253.0,124.0,13.0,18.0,142.0,504.0,487.0,Patna Pirates
7,26.0,12.0,19.21,7.64,26.85,48.0,269.0,204.0,93.0,11.0,14.0,107.0,405.0,536.0,Puneri Paltan
8,14.0,25.0,24.0,7.43,31.42,31.0,336.0,272.0,96.0,8.0,8.0,104.0,497.0,474.0,Telugu Titans
