player_id,High 5s,Player Avg Raid Points,Player Avg Tackle Points,Player DOD Raid Points,Player Raid Points,Player Successful Raids,Player Successful Tackles,Player Super Raids,Player Super Tackles,Player Tackle Points,Player Total Points,Super 10s,player_name,team,position_id,position_name,match_played
12,,2.8,0.1,9.0,28.0,25.0,1.0,,,1.0,29.0,,Jang Kun Lee,6,8.0,Raider,10
26,,4.46,,8.0,58.0,47.0,,2.0,,,58.0,1.0,Ajay Thakur,29,8.0,Raider,13
36,,5.0,0.27,7.0,75.0,59.0,3.0,3.0,1.0,4.0,79.0,1.0,Chandran Ranjit,2,8.0,Raider,15
41,,6.88,0.63,20.0,110.0,85.0,8.0,2.0,2.0,10.0,120.0,5.0,Deepak Niwas Hooda,3,1.0,All Rounder,16
42,1.0,0.25,2.4,,2.0,1.0,33.0,,3.0,36.0,38.0,,Dharmaraj Cheralathan,28,10.0,"Defender, right and left corner",15
46,,2.0,,,4.0,3.0,,,,,4.0,,Gurvinder Singh,31,8.0,Raider,2
54,,,1.73,,,,25.0,,1.0,26.0,26.0,,Jeeva Kumar,4,5.0,"Defender, right and left cover",15
69,2.0,0.3,2.64,,3.0,,35.0,,2.0,37.0,40.0,,Manjeet Chhillar,29,1.0,All Rounder,14
71,1.0,,2.25,,,,33.0,,3.0,36.0,36.0,,Mohit Chhillar,29,6.0,"Defender, right corner",16
81,,6.29,0.35,21.0,108.0,87.0,7.0,,,6.0,113.0,4.0,Rahul Chaudhari,29,8.0,Raider,17
84,,,,,,,2.0,,,2.0,2.0,,Rajaguru Subramanian,5,7.0,"Defender, right cover",4
94,,3.42,0.08,6.0,41.0,30.0,1.0,2.0,,1.0,42.0,,Rishank Devadiga,30,8.0,Raider,12
105,,1.69,0.54,5.0,22.0,17.0,6.0,,1.0,7.0,29.0,,Shabeer Bappu,29,8.0,Raider,13
106,,5.94,0.19,19.0,95.0,72.0,3.0,1.0,,3.0,98.0,2.0,Shrikant Jadhav,30,8.0,Raider,16
111,,2.8,,10.0,28.0,19.0,1.0,2.0,,1.0,29.0,,Sukesh Hegde,4,8.0,Raider,10
115,,4.0,0.08,3.0,44.0,35.0,1.0,1.0,,1.0,45.0,1.0,Suraj Desai,8,8.0,Raider,12
121,,0.62,0.81,4.0,8.0,4.0,13.0,,,13.0,21.0,,Vikas Jaglan,6,1.0,All Rounder,16
123,,,1.31,,,,21.0,,,21.0,21.0,,Vishal Mane,2,7.0,"Defender, right cover",16
142,1.0,0.86,2.44,2.0,12.0,9.0,34.0,,5.0,39.0,51.0,,Sandeep Narwal,5,1.0,All Rounder,16
143,,8.63,0.0,19.0,138.0,118.0,,4.0,,,138.0,6.0,Maninder Singh,4,8.0,Raider,16
155,,4.11,,5.0,37.0,28.0,,,,,37.0,1.0,Prashanth Kumar Rai,28,8.0,Raider,9
156,,4.17,,5.0,25.0,19.0,,,,,25.0,1.0,Pawan Kumar Kadian,7,8.0,Raider,6
157,2.0,,2.75,,,,44.0,,,44.0,44.0,,Ravinder Pahal,2,6.0,"Defender, right corner",16
160,,0.88,1.5,1.0,7.0,4.0,23.0,,1.0,24.0,31.0,,Ran Singh,29,1.0,All Rounder,16
161,1.0,,2.15,,,,26.0,,3.0,28.0,28.0,,Girish Maruti Ernak,7,3.0,"Defender, left corner",13
179,2.0,,2.29,,,,31.0,,1.0,32.0,32.0,,Vikas Kale,28,7.0,"Defender, right cover",14
191,1.0,,1.2,,2.0,1.0,15.0,,3.0,18.0,20.0,,C. Arun,8,4.0,"Defender, left cover",15
194,1.0,,2.56,,,,37.0,,4.0,41.0,41.0,,Joginder Singh Narwal,2,3.0,"Defender, left corner",16
