team_id,Team All-outs Conceded,Team All-outs Inflicted,Team Average Raid Points,Team Average Tackle Points,Team Avg Points Scored,Team DOD Raid Points,Team Raid Points,Team Successful Raids,Team Successful Tackles,Team Super Raid,Team Super Tackles,Team Tackle Points,Team Total Points,Team Total Points Conceded,team_name
1,21.0,12.0,14.93,7.14,22.07,69.0,209.0,158.0,94.0,9.0,7.0,100.0,362.0,467.0,Bengaluru Bulls
2,28.0,9.0,16.64,7.93,24.57,54.0,233.0,171.0,98.0,5.0,13.0,111.0,384.0,525.0,Dabang Delhi K.C.
3,22.0,11.0,13.79,8.36,22.14,59.0,193.0,149.0,101.0,8.0,16.0,117.0,364.0,427.0,Jaipur Pink Panthers
4,18.0,17.0,15.63,9.38,25.0,70.0,250.0,213.0,137.0,4.0,13.0,150.0,460.0,449.0,Bengal Warriors
5,12.0,27.0,15.81,10.56,26.37,59.0,253.0,206.0,163.0,7.0,6.0,169.0,502.0,397.0,U Mumba
6,13.0,30.0,20.25,11.38,31.62,74.0,324.0,241.0,175.0,16.0,7.0,182.0,594.0,468.0,Patna Pirates
7,13.0,25.0,15.69,11.69,27.37,87.0,251.0,203.0,174.0,9.0,13.0,187.0,510.0,433.0,Puneri Paltan
8,17.0,13.0,18.14,8.29,26.42,44.0,254.0,206.0,101.0,3.0,15.0,116.0,427.0,437.0,Telugu Titans
