player_id,High 5s,Player Avg Raid Points,Player Avg Tackle Points,Player DOD Raid Points,Player Raid Points,Player Successful Raids,Player Successful Tackles,Player Super Raids,Player Super Tackles,Player Tackle Points,Player Total Points,Super 10s,player_name,team,position_id,position_name,match_played
10,,,,,1.0,1.0,,,,,1.0,,Simon Kibura,7,8.0,Raider,3
12,,3.43,0.14,15.0,48.0,36.0,2.0,3.0,,2.0,50.0,1.0,Jang Kun Lee,4,8.0,Raider,14
13,,,1.0,,,,3.0,,1.0,4.0,4.0,,Seong Ryeol Kim,4,9.0,Defender,4
14,,1.83,0.63,4.0,11.0,8.0,5.0,,,5.0,16.0,,Tae Deok Eom,6,1.0,All Rounder,8
21,,,,1.0,1.0,,,,,,1.0,,Sinotharan Kanesharajah,1,8.0,Raider,2
26,,6.08,0.08,34.0,79.0,56.0,1.0,6.0,,1.0,80.0,2.0,Ajay Thakur,1,8.0,Raider,13
28,1.0,,2.0,,,,11.0,,1.0,12.0,12.0,,Amit Singh Chhillar,2,3.0,"Defender, left corner",6
29,,5.29,0.5,8.0,74.0,61.0,6.0,1.0,1.0,7.0,81.0,1.0,Anup Kumar,5,8.0,Raider,14
32,,,,,1.0,,,,,,1.0,,Balbir Singh,3,1.0,All Rounder,2
34,1.0,2.2,0.73,11.0,22.0,18.0,8.0,1.0,,8.0,30.0,,Bhupender Singh,5,1.0,All Rounder,11
36,,0.0,,,,,1.0,,,1.0,1.0,,Chandran Ranjit,8,8.0,Raider,1
38,,0.83,1.71,2.0,5.0,4.0,10.0,,2.0,12.0,17.0,,Dadaso Balaso Awad,2,1.0,All Rounder,7
41,3.0,4.0,2.4,8.0,60.0,54.0,32.0,1.0,4.0,36.0,96.0,1.0,Deepak Niwas Hooda,8,1.0,All Rounder,15
42,2.0,1.36,2.8,2.0,19.0,15.0,41.0,,1.0,42.0,61.0,,Dharmaraj Cheralathan,1,10.0,"Defender, right and left corner",15
