player_id,High 5s,Player Avg Raid Points,Player Avg Tackle Points,Player DOD Raid Points,Player Raid Points,Player Successful Raids,Player Successful Tackles,Player Super Raids,Player Super Tackles,Player Tackle Points,Player Total Points,Super 10s,player_name,team,position_id,position_name,match_played
4,,0.5,0.25,,4.0,3.0,2.0,,,2.0,6.0,,Ehsan Zamani Fard,2.0,3.0,"Defender, left corner",8.0
5,,,,,,,1.0,,1.0,2.0,2.0,,Farhad Kamal Gharibi,4.0,3.0,"Defender, left corner",2.0
9,,,,,1.0,1.0,1.0,,,1.0,2.0,,Takamitsu Kono,2.0,1.0,All Rounder,1.0
10,,3.0,0.5,1.0,6.0,5.0,2.0,,,2.0,8.0,,Simon Kibura,7.0,8.0,Raider,4.0
11,,,,,1.0,1.0,,,,,1.0,,Dong Ju Hong,2.0,1.0,All Rounder,2.0
12,,5.0,0.18,10.0,55.0,39.0,2.0,5.0,,2.0,57.0,2.0,Jang Kun Lee,4.0,8.0,Raider,11.0
13,,,1.67,,,,5.0,,,5.0,5.0,,Seong Ryeol Kim,4.0,9.0,Defender,3.0
14,,0.67,0.22,1.0,2.0,1.0,1.0,,1.0,2.0,4.0,,Tae Deok Eom,6.0,1.0,All Rounder,9.0
16,,2.33,,1.0,14.0,10.0,,1.0,,,14.0,,Waleed Al Hasani,7.0,8.0,Raider,6.0
17,,,0.33,,,,1.0,,,1.0,1.0,,Atif Waheed,8.0,1.0,All Rounder,3.0
19,,,0.25,,4.0,3.0,1.0,,,1.0,5.0,,Wajid Ali,8.0,1.0,All Rounder,4.0
20,,,1.8,,,,24.0,,3.0,27.0,27.0,,Wasim Sajjad,6.0,6.0,"Defender, right corner",15.0
21,,,,,4.0,2.0,1.0,1.0,,1.0,5.0,,Sinotharan Kanesharajah,1.0,8.0,Raider,1.0
23,,,,1.0,4.0,3.0,,,,,4.0,,Dovlet Boshimov,6.0,8.0,Raider,2.0
26,,8.13,0.33,8.0,122.0,96.0,5.0,2.0,,5.0,127.0,5.0,Ajay Thakur,1.0,8.0,Raider,15.0
28,1.0,,2.07,,1.0,1.0,26.0,,3.0,29.0,30.0,,Amit Singh Chhillar,2.0,3.0,"Defender, left corner",14.0
29,,9.69,0.88,13.0,155.0,123.0,12.0,8.0,2.0,14.0,169.0,10.0,Anup Kumar,5.0,8.0,Raider,16.0
32,,1.13,,2.0,9.0,7.0,,,,,9.0,,Balbir Singh,3.0,1.0,All Rounder,8.0
36,,1.0,0.0,,6.0,4.0,,,,,6.0,,Chandran Ranjit,8.0,8.0,Raider,6.0
38,,,1.0,,,,4.0,,1.0,5.0,5.0,,Dadaso Balaso Awad,2.0,1.0,All Rounder,5.0
41,,6.21,0.14,8.0,87.0,72.0,2.0,3.0,,2.0,89.0,3.0,Deepak Niwas Hooda,8.0,1.0,All Rounder,14.0
42,2.0,1.08,2.44,3.0,13.0,8.0,34.0,,5.0,39.0,52.0,,Dharmaraj Cheralathan,1.0,10.0,"Defender, right and left corner",16.0
44,,1.63,0.3,1.0,13.0,10.0,3.0,,,3.0,16.0,,Gangadhari Mallesh,3.0,8.0,Raider,10.0
45,1.0,,1.56,1.0,2.0,1.0,24.0,,1.0,25.0,27.0,,Gurpreet Singh,1.0,6.0,"Defender, right corner",16.0
46,,1.8,0.57,3.0,9.0,6.0,3.0,,1.0,4.0,13.0,,Gurvinder Singh,6.0,8.0,Raider,7.0
51,,0.78,2.71,2.0,7.0,7.0,36.0,,2.0,38.0,45.0,,Jasmer Singh Gulia,2.0,1.0,All Rounder,14.0
52,,7.07,0.47,9.0,106.0,83.0,6.0,2.0,1.0,7.0,113.0,2.0,Jasvir Singh,3.0,8.0,Raider,15.0
53,,,0.55,,,,6.0,,,6.0,6.0,,Jeeva Gopal,5.0,4.0,"Defender, left cover",11.0
54,,,1.78,,,,16.0,,,16.0,16.0,,Jeeva Kumar,5.0,5.0,"Defender, right and left cover",9.0
55,2.0,2.86,0.93,10.0,40.0,31.0,11.0,,2.0,13.0,53.0,,Jitesh Joshi,7.0,1.0,All Rounder,14.0
56,,1.0,1.43,,12.0,8.0,14.0,1.0,6.0,20.0,32.0,,Kalimuthu Balamahendran,7.0,3.0,"Defender, left corner",14.0
58,,8.07,0.64,18.0,113.0,92.0,8.0,3.0,1.0,9.0,122.0,5.0,Kashiling Adake,2.0,8.0,Raider,14.0
61,,,1.67,,,,4.0,,1.0,5.0,5.0,,Kuldeep Singh,6.0,3.0,"Defender, left corner",3.0
66,,3.92,0.62,5.0,51.0,40.0,8.0,1.0,,8.0,59.0,,Mahesh Goud,4.0,8.0,Raider,13.0
67,,4.8,1.4,5.0,24.0,16.0,7.0,2.0,,7.0,31.0,1.0,Mahipal Narwal,7.0,1.0,All Rounder,5.0
68,,1.0,0.0,,5.0,2.0,,1.0,,,5.0,,Mandeep Kumar,6.0,8.0,Raider,7.0
69,3.0,4.44,3.19,7.0,71.0,53.0,51.0,2.0,,51.0,122.0,2.0,Manjeet Chhillar,1.0,1.0,All Rounder,16.0
70,,1.83,1.43,,22.0,14.0,17.0,2.0,3.0,20.0,42.0,,Manoj Kumar,7.0,4.0,"Defender, left cover",14.0
71,2.0,,2.19,,1.0,1.0,30.0,,5.0,35.0,36.0,,Mohit Chhillar,5.0,6.0,"Defender, right corner",16.0
72,1.0,,1.21,,,,16.0,,1.0,17.0,17.0,,Navneet Gautam,3.0,3.0,"Defender, left corner",14.0
73,2.0,1.75,2.0,,7.0,5.0,25.0,,3.0,28.0,35.0,,Nilesh Shinde,4.0,6.0,"Defender, right corner",14.0
75,,8.42,0.5,8.0,101.0,78.0,4.0,3.0,2.0,6.0,107.0,5.0,Nitin Madane,4.0,8.0,Raider,12.0
76,1.0,,1.33,,,,12.0,,,12.0,12.0,,Nitin More,7.0,4.0,"Defender, left cover",9.0
77,,,0.38,,,,2.0,,1.0,3.0,3.0,,Parveen Kumar,4.0,7.0,"Defender, right cover",8.0
79,,3.33,0.14,5.0,20.0,12.0,1.0,3.0,,1.0,21.0,1.0,Pravin Niwale,7.0,8.0,Raider,7.0
