player_id,High 5s,Player Avg Raid Points,Player Avg Tackle Points,Player DOD Raid Points,Player Raid Points,Player Successful Raids,Player Successful Tackles,Player Super Raids,Player Super Tackles,Player Tackle Points,Player Total Points,Super 10s,player_name,team,position_id,position_name,match_played
217,,2.29,0.0,5.0,16.0,11.0,,,,,16.0,,Rohit Kumar Choudary,2,8.0,Raider,7
219,,0.5,,1.0,2.0,1.0,,,,,2.0,,K. Prapanjan,5,8.0,Raider,4
222,,,0.14,,,,1.0,,,1.0,1.0,,G.S. Manikandan,2,4.0,"Defender, left cover",7
227,,0.67,,2.0,2.0,2.0,,,,,2.0,,Vinoth Paulyas,5,8.0,Raider,3
231,,3.75,0.75,11.0,30.0,21.0,4.0,1.0,2.0,6.0,36.0,,Amit Om Prakash Rathi,1,8.0,Raider,8
234,,3.67,0.08,12.0,44.0,34.0,1.0,2.0,,1.0,45.0,,Surender Singh,7,8.0,Raider,12
236,,,,,,,1.0,,,1.0,1.0,,T. Prasad,8,1.0,All Rounder,3
238,,,,1.0,1.0,1.0,,,,,1.0,,Isac Antony,8,8.0,Raider,2
240,,,0.75,,,,8.0,,1.0,9.0,9.0,,Ravi Kumar,7,7.0,"Defender, right cover",12
242,,1.83,0.0,14.0,22.0,16.0,,2.0,,,22.0,,Tushar Patil,7,8.0,Raider,13
245,,1.2,0.33,3.0,6.0,5.0,2.0,,,2.0,8.0,,Yogesh Hooda,7,8.0,Raider,6
249,,,1.8,,,,17.0,,1.0,18.0,18.0,,Hadi Oshtorak,6,1.0,All Rounder,10
251,,1.93,1.5,11.0,27.0,20.0,18.0,,3.0,21.0,48.0,,Meraj Sheykh,8,1.0,All Rounder,14
252,1.0,0.7,1.4,1.0,7.0,5.0,11.0,,3.0,14.0,21.0,,Kuldeep Singh,3,1.0,All Rounder,10
259,2.0,,2.91,,1.0,,32.0,,,32.0,33.0,,Fazel Atrachali,5,3.0,"Defender, left corner",11
261,,4.91,0.18,8.0,54.0,44.0,2.0,2.0,,2.0,56.0,2.0,Rohit Baliyan,8,8.0,Raider,11
263,,,,2.0,2.0,1.0,,,,,2.0,,Jay Bahadur Bohara,2,8.0,Raider,1
264,,4.75,0.13,25.0,38.0,29.0,1.0,1.0,,1.0,39.0,1.0,Selvamani K,2,8.0,Raider,8
268,,2.0,,,8.0,8.0,1.0,,,1.0,9.0,,Vineet Sharma,4,8.0,Raider,4
272,,2.33,0.83,6.0,14.0,11.0,4.0,,1.0,5.0,19.0,,Umesh Mhatre,4,8.0,Raider,6
275,,0.6,0.79,5.0,6.0,4.0,11.0,1.0,,11.0,17.0,,Deepak Kumar Rathee,1,1.0,All Rounder,14
277,,2.5,0.67,4.0,15.0,9.0,2.0,1.0,2.0,4.0,19.0,1.0,Anil Shriram Nimbolkar,2,8.0,Raider,6
278,,1.0,0.25,,5.0,3.0,1.0,,1.0,2.0,7.0,,Gnanasekaran M,2,6.0,"Defender, right corner",8
283,,,0.71,,,,5.0,,,5.0,5.0,,Jagdeesha K.K.,3,6.0,"Defender, right corner",7
285,,1.6,,6.0,8.0,6.0,,,,,8.0,,Anil Kashinath Patil,3,1.0,All Rounder,5
288,,,1.27,,,,12.0,,2.0,14.0,14.0,,Rahul Kumar,8,7.0,"Defender, right cover",11
290,2.0,,3.2,,,,26.0,,6.0,32.0,32.0,,Sandeep Kumar Dhull,2,3.0,"Defender, left corner",10
293,,2.0,,6.0,10.0,5.0,,1.0,,,10.0,,Nilesh Salunke,7,8.0,Raider,7
296,,,,,,,1.0,,,1.0,1.0,,Navjot Singh,2,7.0,"Defender, right cover",1
299,,,1.0,,,,3.0,,,3.0,3.0,,Sandeep,6,3.0,"Defender, left corner",3
307,,,,,,,1.0,,,1.0,1.0,,Ravinandan G.M.,2,3.0,"Defender, left corner",1
