team_id,Team All-outs Conceded,Team All-outs Inflicted,Team Average Raid Points,Team Average Tackle Points,Team Avg Points Scored,Team DOD Raid Points,Team Raid Points,Team Successful Raids,Team Successful Tackles,Team Super Raid,Team Super Tackles,Team Tackle Points,Team Total Points,Team Total Points Conceded,team_name
1,21.0,9.0,14.36,8.86,23.21,59.0,201.0,157.0,109.0,4.0,15.0,124.0,360.0,415.0,Bengaluru Bulls
2,16.0,15.0,16.14,9.57,25.71,84.0,226.0,162.0,116.0,11.0,20.0,134.0,419.0,412.0,Dabang Delhi K.C.
3,14.0,17.0,16.88,8.44,25.31,80.0,270.0,203.0,119.0,6.0,17.0,135.0,475.0,450.0,Jaipur Pink Panthers
4,15.0,11.0,14.43,8.93,23.35,62.0,202.0,167.0,117.0,4.0,8.0,125.0,378.0,438.0,Bengal Warriors
5,21.0,15.0,16.21,8.64,24.85,42.0,227.0,188.0,110.0,4.0,11.0,121.0,399.0,418.0,U Mumba
6,12.0,19.0,16.5,10.69,27.18,73.0,264.0,206.0,145.0,7.0,27.0,171.0,492.0,466.0,Patna Pirates
7,17.0,21.0,18.13,9.13,27.25,77.0,290.0,230.0,140.0,10.0,7.0,146.0,515.0,491.0,Puneri Paltan
8,13.0,22.0,16.69,10.13,26.81,76.0,267.0,206.0,157.0,7.0,5.0,162.0,506.0,454.0,Telugu Titans
