player_id,High 5s,Player Avg Raid Points,Player Avg Tackle Points,Player DOD Raid Points,Player Raid Points,Player Successful Raids,Player Successful Tackles,Player Super Raids,Player Super Tackles,Player Tackle Points,Player Total Points,Super 10s,player_name,team,position_id,position_name,match_played
12,,4.39,0.17,7.0,79.0,61.0,2.0,2.0,1.0,3.0,82.0,2.0,Jang Kun Lee,4,8.0,Raider,18
14,,,0.09,,,,1.0,,,1.0,1.0,,Tae Deok Eom,6,1.0,All Rounder,11
26,,9.23,0.05,33.0,203.0,177.0,1.0,3.0,,1.0,204.0,7.0,Ajay Thakur,29,8.0,Raider,22
29,,2.92,0.92,1.0,38.0,30.0,12.0,2.0,,12.0,50.0,,Anup Kumar,3,8.0,Raider,13
34,,2.5,,6.0,10.0,6.0,2.0,1.0,1.0,3.0,13.0,,Bhupender Singh,4,1.0,All Rounder,4
36,,6.38,0.21,16.0,153.0,127.0,4.0,3.0,1.0,5.0,158.0,3.0,Chandran Ranjit,2,8.0,Raider,24
41,1.0,8.91,0.55,23.0,196.0,162.0,11.0,4.0,1.0,12.0,208.0,10.0,Deepak Niwas Hooda,3,1.0,All Rounder,22
42,1.0,0.0,1.82,,,,37.0,,3.0,40.0,40.0,,Dharmaraj Cheralathan,5,10.0,"Defender, right and left corner",22
44,,0.4,0.33,1.0,2.0,1.0,1.0,,1.0,2.0,4.0,,Gangadhari Mallesh,3,8.0,Raider,6
51,,,0.67,,,,4.0,,,4.0,4.0,,Jasmer Singh Gulia,1,1.0,All Rounder,6
52,,2.8,0.25,2.0,42.0,32.0,4.0,,,4.0,46.0,,Jasvir Singh,29,8.0,Raider,16
54,1.0,,2.11,,,,36.0,,4.0,40.0,40.0,,Jeeva Kumar,30,5.0,"Defender, right and left cover",19
58,,3.35,0.85,12.0,67.0,51.0,15.0,3.0,2.0,17.0,84.0,1.0,Kashiling Adake,1,8.0,Raider,20
66,,3.8,0.8,11.0,38.0,26.0,8.0,3.0,,8.0,46.0,,Mahesh Goud,4,8.0,Raider,10
