team_id,Team All-outs Conceded,Team All-outs Inflicted,Team Average Raid Points,Team Average Tackle Points,Team Avg Points Scored,Team DOD Raid Points,Team Raid Points,Team Successful Raids,Team Successful Tackles,Team Super Raid,Team Super Tackles,Team Tackle Points,Team Total Points,Team Total Points Conceded,team_name
1,16.0,25.0,15.75,10.25,26.0,80.0,252.0,194.0,158.0,10.0,7.0,164.0,508.0,457.0,Bengaluru Bulls
2,20.0,13.0,15.5,9.71,25.21,61.0,217.0,159.0,122.0,14.0,14.0,136.0,396.0,464.0,Dabang Delhi K.C.
3,12.0,17.0,16.57,10.14,26.71,47.0,232.0,183.0,124.0,5.0,18.0,142.0,442.0,399.0,Jaipur Pink Panthers
4,17.0,10.0,13.14,9.71,22.85,59.0,184.0,134.0,116.0,9.0,21.0,136.0,367.0,430.0,Bengal Warriors
5,14.0,20.0,14.81,12.25,27.06,81.0,237.0,187.0,180.0,7.0,16.0,196.0,489.0,426.0,U Mumba
6,21.0,13.0,14.25,10.25,24.5,60.0,228.0,182.0,152.0,4.0,13.0,164.0,444.0,489.0,Patna Pirates
7,21.0,12.0,15.93,8.14,24.07,56.0,223.0,170.0,104.0,8.0,11.0,114.0,391.0,465.0,Puneri Paltan
8,15.0,26.0,21.5,10.75,32.25,66.0,344.0,265.0,158.0,16.0,16.0,172.0,586.0,493.0,Telugu Titans
