team_id,Team All-outs Conceded,Team All-outs Inflicted,Team Average Raid Points,Team Average Tackle Points,Team Avg Points Scored,Team DOD Raid Points,Team Raid Points,Team Successful Raids,Team Successful Tackles,Team Super Raid,Team Super Tackles,Team Tackle Points,Team Total Points,Team Total Points Conceded,team_name
1,19.0,17.0,20.13,10.25,30.37,35.0,322.0,256.0,141.0,6.0,25.0,164.0,544.0,530.0,Bengaluru Bulls
2,12.0,26.0,20.56,9.25,29.81,41.0,329.0,276.0,143.0,7.0,7.0,148.0,567.0,499.0,Dabang Delhi K.C.
3,16.0,15.0,15.81,10.94,26.75,63.0,253.0,197.0,150.0,6.0,26.0,175.0,484.0,490.0,Jaipur Pink Panthers
4,13.0,24.0,19.88,9.69,29.56,46.0,318.0,256.0,145.0,12.0,12.0,155.0,547.0,475.0,Bengal Warriors
5,16.0,20.0,16.4,9.87,26.26,55.0,246.0,192.0,135.0,6.0,15.0,148.0,459.0,433.0,U Mumba
6,17.0,24.0,17.81,10.75,28.56,58.0,285.0,233.0,150.0,9.0,22.0,172.0,525.0,517.0,Patna Pirates
7,25.0,13.0,16.94,11.44,28.37,52.0,271.0,220.0,164.0,4.0,19.0,183.0,500.0,546.0,Puneri Paltan
8,18.0,7.0,16.2,10.33,26.53,33.0,243.0,208.0,135.0,4.0,21.0,155.0,432.0,490.0,Telugu Titans
28,16.0,21.0,18.87,10.87,29.73,51.0,283.0,219.0,152.0,11.0,11.0,163.0,507.0,470.0,Haryana Steelers
29,21.0,11.0,17.19,8.81,26.0,45.0,275.0,218.0,131.0,4.0,12.0,141.0,467.0,531.0,Tamil Thalaivas
30,18.0,16.0,15.2,10.47,25.66,54.0,228.0,179.0,147.0,2.0,11.0,157.0,436.0,479.0,U.P. Yoddha
31,18.0,15.0,15.69,9.63,25.31,47.0,251.0,207.0,140.0,4.0,15.0,154.0,465.0,473.0,Gujarat Fortunegiants
