player_id,High 5s,Player Avg Raid Points,Player Avg Tackle Points,Player DOD Raid Points,Player Raid Points,Player Successful Raids,Player Successful Tackles,Player Super Raids,Player Super Tackles,Player Tackle Points,Player Total Points,Super 10s,player_name,team,position_id,position_name,match_played
12,,5.55,0.36,13.0,61.0,49.0,4.0,2.0,,4.0,65.0,2.0,Jang Kun Lee,4,8.0,Raider,11
26,,3.94,0.06,26.0,63.0,41.0,1.0,5.0,,1.0,64.0,1.0,Ajay Thakur,7,8.0,Raider,16
28,,,1.44,,,,13.0,,,13.0,13.0,,Amit Singh Chhillar,4,3.0,"Defender, left corner",9
29,,5.14,0.71,3.0,72.0,60.0,9.0,1.0,1.0,10.0,82.0,,Anup Kumar,5,8.0,Raider,14
34,,0.0,,,,,,,,,,,Bhupender Singh,2,1.0,All Rounder,4
41,,7.88,0.25,34.0,126.0,108.0,4.0,2.0,,4.0,130.0,2.0,Deepak Niwas Hooda,7,1.0,All Rounder,16
42,4.0,0.18,2.79,,2.0,2.0,31.0,,8.0,39.0,41.0,,Dharmaraj Cheralathan,6,10.0,"Defender, right and left corner",14
46,,0.67,,2.0,4.0,4.0,,,,,4.0,,Gurvinder Singh,5,8.0,Raider,6
51,1.0,0.0,1.46,,,,19.0,,,19.0,19.0,,Jasmer Singh Gulia,8,1.0,All Rounder,13
52,,5.86,0.43,17.0,82.0,64.0,4.0,,2.0,6.0,88.0,2.0,Jasvir Singh,3,8.0,Raider,14
53,,,0.0,,,,,,,,,,Jeeva Gopal,1,4.0,"Defender, left cover",5
54,,,1.86,,,,24.0,,2.0,26.0,26.0,,Jeeva Kumar,5,5.0,"Defender, right and left cover",14
58,,6.0,0.85,17.0,78.0,58.0,8.0,3.0,3.0,11.0,89.0,2.0,Kashiling Adake,2,8.0,Raider,13
66,,0.83,,1.0,5.0,4.0,,,,,5.0,,Mahesh Goud,6,8.0,Raider,7
67,,1.44,0.64,4.0,13.0,8.0,7.0,1.0,2.0,9.0,22.0,,Mahipal Narwal,3,1.0,All Rounder,14
69,5.0,2.4,3.67,2.0,24.0,20.0,43.0,1.0,1.0,44.0,68.0,,Manjeet Chhillar,7,1.0,All Rounder,12
70,,,0.5,,,,4.0,,,4.0,4.0,,Manoj Kumar,1,4.0,"Defender, left cover",8
71,4.0,0.5,3.36,,3.0,1.0,44.0,,3.0,47.0,50.0,,Mohit Chhillar,1,6.0,"Defender, right corner",14
73,,0.25,2.17,,2.0,1.0,26.0,,,26.0,28.0,,Nilesh Shinde,4,6.0,"Defender, right corner",12
