team_id,Team All-outs Conceded,Team All-outs Inflicted,Team Average Raid Points,Team Average Tackle Points,Team Avg Points Scored,Team DOD Raid Points,Team Raid Points,Team Successful Raids,Team Successful Tackles,Team Super Raid,Team Super Tackles,Team Tackle Points,Team Total Points,Team Total Points Conceded,team_name
1,25.0,28.0,17.86,9.09,26.95,93.0,393.0,336.0,185.0,5.0,17.0,200.0,689.0,679.0,Bengaluru Bulls
2,35.0,18.0,15.64,7.68,23.31,94.0,344.0,283.0,159.0,6.0,12.0,169.0,598.0,731.0,Dabang Delhi K.C.
3,27.0,22.0,16.05,7.77,23.81,83.0,353.0,288.0,162.0,13.0,10.0,171.0,631.0,723.0,Jaipur Pink Panthers
4,29.0,27.0,18.96,8.04,27.0,87.0,455.0,379.0,181.0,11.0,12.0,193.0,749.0,757.0,Bengal Warriors
5,36.0,21.0,19.05,9.18,28.22,78.0,419.0,322.0,176.0,10.0,26.0,202.0,707.0,757.0,U Mumba
6,29.0,55.0,24.5,9.69,34.19,95.0,637.0,487.0,226.0,26.0,27.0,252.0,1050.0,921.0,Patna Pirates
7,23.0,32.0,15.79,11.29,27.08,119.0,379.0,304.0,252.0,12.0,21.0,271.0,766.0,683.0,Puneri Paltan
8,26.0,25.0,18.18,9.41,27.59,88.0,400.0,332.0,191.0,10.0,17.0,207.0,696.0,698.0,Telugu Titans
28,23.0,27.0,17.57,9.87,27.43,105.0,404.0,327.0,206.0,12.0,21.0,227.0,727.0,726.0,Haryana Steelers
29,31.0,19.0,18.64,9.14,27.77,89.0,410.0,351.0,184.0,5.0,17.0,201.0,681.0,752.0,Tamil Thalaivas
30,32.0,23.0,20.04,8.74,28.78,83.0,461.0,358.0,183.0,23.0,19.0,201.0,762.0,763.0,U.P. Yoddha
31,17.0,36.0,16.88,10.58,27.45,98.0,405.0,335.0,242.0,11.0,12.0,254.0,775.0,641.0,Gujarat Fortunegiants
